0: Found a hight density position:[4, 8]
0 Worker Positions {'u_2': deque([(14, 4)], maxlen=3)}
0 Found worker w/o resource u_2
0: Doing research! 
1 Worker Positions {'u_2': deque([(14, 4), (15, 4)], maxlen=3)}
2 Worker Positions {'u_2': deque([(14, 4), (15, 4), (15, 4)], maxlen=3)}
3 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
3 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
4 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
4 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
5 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 5)], maxlen=3)}
6 Worker Positions {'u_2': deque([(15, 4), (15, 5), (15, 5)], maxlen=3)}
7 Worker Positions {'u_2': deque([(15, 5), (15, 5), (15, 5)], maxlen=3)}
7 Looks like a stuck worker u_2 - deque([(15, 5), (15, 5), (15, 5)], maxlen=3)
8 Worker Positions {'u_2': deque([(15, 5), (15, 5), (15, 5)], maxlen=3)}
8 Looks like a stuck worker u_2 - deque([(15, 5), (15, 5), (15, 5)], maxlen=3)
9 Worker Positions {'u_2': deque([(15, 5), (15, 5), (15, 6)], maxlen=3)}
10 Worker Positions {'u_2': deque([(15, 5), (15, 6), (15, 6)], maxlen=3)}
10: Doing research! 
11 Worker Positions {'u_2': deque([(15, 6), (15, 6), (15, 6)], maxlen=3)}
11 Looks like a stuck worker u_2 - deque([(15, 6), (15, 6), (15, 6)], maxlen=3)
12 Worker Positions {'u_2': deque([(15, 6), (15, 6), (15, 7)], maxlen=3)}
13 Worker Positions {'u_2': deque([(15, 6), (15, 7), (15, 7)], maxlen=3)}
14 Worker Positions {'u_2': deque([(15, 7), (15, 7), (15, 7)], maxlen=3)}
14 Looks like a stuck worker u_2 - deque([(15, 7), (15, 7), (15, 7)], maxlen=3)
15 Worker Positions {'u_2': deque([(15, 7), (15, 7), (15, 7)], maxlen=3)}
15 Looks like a stuck worker u_2 - deque([(15, 7), (15, 7), (15, 7)], maxlen=3)
16 Worker Positions {'u_2': deque([(15, 7), (15, 7), (15, 8)], maxlen=3)}
17 Worker Positions {'u_2': deque([(15, 7), (15, 8), (15, 8)], maxlen=3)}
18 Worker Positions {'u_2': deque([(15, 8), (15, 8), (15, 8)], maxlen=3)}
18 Looks like a stuck worker u_2 - deque([(15, 8), (15, 8), (15, 8)], maxlen=3)
19 Worker Positions {'u_2': deque([(15, 8), (15, 8), (14, 8)], maxlen=3)}
20 Worker Positions {'u_2': deque([(15, 8), (14, 8), (14, 8)], maxlen=3)}
20: Doing research! 
21 Worker Positions {'u_2': deque([(14, 8), (14, 8), (14, 8)], maxlen=3)}
21 Looks like a stuck worker u_2 - deque([(14, 8), (14, 8), (14, 8)], maxlen=3)
22 Worker Positions {'u_2': deque([(14, 8), (14, 8), (14, 9)], maxlen=3)}
23 Worker Positions {'u_2': deque([(14, 8), (14, 9), (14, 9)], maxlen=3)}
24 Worker Positions {'u_2': deque([(14, 9), (14, 9), (14, 9)], maxlen=3)}
24 Looks like a stuck worker u_2 - deque([(14, 9), (14, 9), (14, 9)], maxlen=3)
25 Worker Positions {'u_2': deque([(14, 9), (14, 9), (14, 10)], maxlen=3)}
26 Worker Positions {'u_2': deque([(14, 9), (14, 10), (14, 10)], maxlen=3)}
27 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 10)], maxlen=3)}
27 Looks like a stuck worker u_2 - deque([(14, 10), (14, 10), (14, 10)], maxlen=3)
28 Worker Positions {'u_2': deque([(14, 10), (14, 10), (13, 10)], maxlen=3)}
29 Worker Positions {'u_2': deque([(14, 10), (13, 10), (13, 10)], maxlen=3)}
30 Worker Positions {'u_2': deque([(13, 10), (13, 10), (13, 10)], maxlen=3)}
30 Looks like a stuck worker u_2 - deque([(13, 10), (13, 10), (13, 10)], maxlen=3)
30: Doing research! 
31 Worker Positions {'u_2': deque([(13, 10), (13, 10), (14, 10)], maxlen=3)}
32 Worker Positions {'u_2': deque([(13, 10), (14, 10), (14, 10)], maxlen=3)}
33 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 10)], maxlen=3)}
34 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 10)], maxlen=3)}
